time	level
201710	0.251
201711	0.082
201712	-0.008
201801	-0.025
201802	0.015
201803	0.026
201804	0.047
201805	0.118
201806	0.133
201807	0.178
201808	0.250
201809	0.189
201810	0.040
201811	-0.005
201812	-
201901	0.011
201902	-0.006
201903	0.051
201904	0.070
201905	0.105
201906	0.158
201907	0.221
201908	0.247
201909	0.219
201910	0.149
201911	0.035
201912	-0.048
202001	0.029
202002	-0.010
202003	0.022
202004	0.029
202005	0.111
202006	0.172
202007	0.174
202008	0.187
202009	0.233
202010	0.160
202011	0.011
202012	0.030
202101	-0.042
202102	-0.030
202103	-0.024
202104	0.047
202105	0.093
202106	0.182
202107	0.239
202108	0.229
202109	0.188
202110	0.148
202111	0.038
202112	-0.034
202201	0.017
202202	0.041
202203	0.070
202204	0.037
202205	0.108
202206	0.220
202207	0.278
202208	0.270
202209	0.318
202210	0.134
202211	0.101
202212	-0.001
202301	0.016
202302	0.023
202303	0.026
202304	0.077
202305	-
202306	-
202307	-
202308	-
202309	-
202310	-
202311	-
202312	-
