time	level
200201	-
200202	-0.063
200203	0.008
200204	-
200205	-0.033
200206	-0.078
200207	-
200208	-
200209	-
200210	-
200211	-
200212	-
200301	-0.303
200302	-0.300
200303	-0.265
200304	-0.119
200305	-0.051
200306	-0.018
200307	0.001
200308	0.149
200309	0.131
200310	0.044
200311	-0.072
200312	-0.168
200401	-0.262
200402	-0.234
200403	-0.108
200404	-0.052
200405	0.039
200406	0.098
200407	0.185
200408	0.172
200409	0.077
200410	0.046
200411	-0.049
200412	-0.183
200501	-0.209
200502	-0.167
200503	-0.205
200504	-0.041
200505	0.038
200506	0.120
200507	0.131
200508	0.145
200509	0.176
200510	0.051
200511	0.030
200512	-0.159
200601	-0.119
200602	-0.067
200603	-0.099
200604	0.061
200605	0.099
200606	0.163
200607	0.220
200608	0.199
200609	0.145
200610	0.121
200611	0.055
200612	-0.046
200701	-0.198
200702	-0.130
200703	-0.001
200704	-0.010
200705	0.060
200706	0.111
200707	0.133
200708	0.284
200709	0.204
200710	0.089
200711	0.016
200712	-0.073
200801	-0.060
200802	-0.140
200803	-0.018
200804	0.077
200805	0.151
200806	0.175
200807	0.203
200808	0.209
200809	0.145
200810	0.054
200811	0.005
200812	-0.062
200901	-0.161
200902	-0.089
200903	-0.099
200904	0.017
200905	0.092
200906	0.207
200907	0.176
200908	0.223
200909	0.275
200910	0.090
200911	-0.023
200912	-0.093
201001	-0.144
201002	-0.088
201003	-0.062
201004	-0.019
201005	0.072
201006	0.096
201007	0.184
201008	0.263
201009	0.244
201010	0.172
201011	0.078
201012	-0.008
201101	-0.159
201102	-0.056
201103	-0.051
201104	0.002
201105	0.078
201106	0.189
201107	0.255
201108	0.292
201109	0.248
201110	0.171
201111	0.099
201112	-0.044
201201	-0.115
201202	-0.010
201203	0.065
201204	0.104
201205	0.152
201206	0.218
201207	0.211
201208	0.242
201209	0.184
201210	0.176
201211	0.041
201212	-0.042
201301	-0.102
201302	-0.096
201303	-0.025
201304	0.097
201305	0.132
201306	0.125
201307	0.183
201308	0.271
201309	0.217
201310	0.138
201311	-0.028
201312	-0.131
201401	-0.089
201402	-0.041
201403	-0.034
201404	0.062
201405	0.087
201406	0.172
201407	0.223
201408	0.205
201409	0.197
201410	0.159
201411	0.088
201412	-0.043
201501	-0.066
201502	-0.038
201503	-0.018
201504	0.027
201505	0.117
201506	0.180
201507	0.269
201508	0.297
201509	0.223
201510	0.178
201511	0.044
201512	-0.031
201601	-0.037
201602	-0.063
201603	0.033
201604	0.162
201605	0.217
201606	0.170
201607	0.208
201608	0.296
201609	0.281
201610	0.236
201611	0.175
201612	0.048
201701	-
201702	-
201703	0.122
201704	0.151
201705	0.129
201706	0.259
201707	0.274
201708	0.330
201709	0.322
201710	0.297
201711	0.122
201712	0.010
201801	-0.031
201802	-0.032
201803	0.067
201804	0.125
201805	0.177
201806	0.251
201807	0.364
201808	0.414
201809	0.319
201810	0.185
201811	0.122
201812	0.051
201901	0.094
201902	0.084
201903	0.152
201904	0.192
201905	0.219
201906	0.315
201907	0.349
201908	0.352
201909	0.287
201910	0.212
201911	0.154
201912	0.000
202001	0.019
202002	0.060
202003	0.082
202004	0.114
202005	0.236
202006	0.310
202007	0.336
202008	0.356
202009	0.337
202010	0.342
202011	0.223
202012	0.118
202101	0.007
202102	0.018
202103	0.086
202104	0.218
202105	0.279
202106	0.316
202107	0.374
202108	0.376
202109	0.341
202110	0.309
202111	0.203
202112	0.156
202201	0.130
202202	0.099
202203	0.185
202204	0.208
202205	0.211
202206	0.312
202207	0.392
202208	0.401
202209	0.373
