time	level
197601	0.0955
197602	0.1275
197603	0.167
197604	0.177
197605	0.199
197606	0.236
197607	0.2895
197608	0.112
197609	0.189
197610	0.119
197611	0.101
197612	0.11
197701	0.139
197702	0.136
197703	0.108
197704	0.07
197705	0.073
197706	0.102
197707	0.215
197708	0.311
197709	0.315
197710	0.28500000000000003
197711	0.187
197712	0.139
197801	0.0955
197802	0.1275
197803	0.212
197804	0.205
197805	0.18
197806	0.236
197807	0.242
197808	0.244
197809	0.267
197810	0.275
197811	0.186
197812	0.095
197901	0.036
197902	0.124
197903	0.126
197904	0.144
197905	0.184
197906	0.236
197907	0.249
197908	0.31
197909	0.296
197910	0.372
197911	0.203
197912	0.016
198001	0.0
198002	0.043
198003	0.13
198004	0.161
198005	0.251
198006	0.248
198007	0.286
198008	0.289
198009	0.365
198010	0.307
198011	0.336
198012	0.162
198101	0.064
198102	0.073
198103	0.05
198104	0.268
198105	0.184
198106	0.236
198107	0.2895
198108	0.311
198109	0.315
198110	0.28500000000000003
198111	0.187
198112	0.139
198201	0.0955
198202	0.1275
198203	0.167
198204	0.177
198205	0.199
198206	0.236
198207	0.2895
198208	0.311
198209	0.315
198210	0.28500000000000003
198211	0.187
198212	0.139
198301	0.0955
198302	0.1275
198303	0.174
198304	0.167
198305	0.198
198306	0.223
198307	0.349
198308	0.278
198309	0.245
198310	0.211
198311	0.1485
198312	0.086
198401	0.084
198402	0.131
198403	0.14
198404	0.184
198405	0.27
198406	0.292
198407	0.171
198408	0.311
198409	0.315
198410	0.29
198411	0.20099999999999998
198412	0.112
198501	0.017
198502	0.147
198503	0.188
198504	0.142
198505	0.128
198506	0.251
198507	0.324
198508	0.397
198509	0.399
198510	0.207
198511	0.144
198512	0.15
198601	0.082
198602	0.113
198603	0.222
198604	0.175
198605	0.177
198606	0.18
198607	0.2505
198608	0.321
198609	0.271
198610	0.225
198611	0.254
198612	0.153
198701	0.074
198702	0.047
198703	0.078
198704	0.153
198705	0.153
198706	0.3055
198707	0.458
198708	0.302
198709	0.383
198710	0.225
198711	0.175
198712	0.193
198801	0.15
198802	0.091
198803	0.138
198804	0.113
198805	0.178
198806	0.236
198807	0.264
198808	0.311
198809	0.27
198810	0.324
198811	0.096
198812	-0.011
198901	0.044
198902	0.03
198903	0.151
198904	0.169
198905	0.191
198906	0.206
198907	0.311
198908	0.358
198909	0.315
198910	0.231
198911	0.107
198912	0.073
199001	0.101
199002	0.055
199003	0.1
199004	0.175
199005	0.181
199006	0.258
199007	0.285
199008	0.311
199009	0.315
199010	0.28500000000000003
199011	0.133
199012	0.083
199101	0.008
199102	0.18
199103	0.106
199104	0.103
199105	0.161
199106	0.249
199107	0.2895
199108	0.311
199109	0.315
199110	0.28500000000000003
199111	0.187
199112	0.139
199201	0.0955
199202	0.1275
199203	0.167
199204	0.177
199205	0.199
199206	0.236
199207	0.2895
199208	0.295
199209	0.345
199210	0.277
199211	0.109
199212	0.15
199301	0.085
199302	0.06
199303	0.096
199304	0.138
199305	0.134
199306	0.112
199307	0.094
199308	0.208
199309	0.263
199310	0.158
199311	0.051
199312	0.117
199401	0.099
199402	0.1395
199403	0.18
199404	0.246
199405	0.211
199406	0.207
199407	0.288
199408	0.276
199409	0.156
199410	0.11449999999999999
199411	0.073
199412	0.028
199501	0.078
199502	0.075
199503	0.083
199504	0.125
199505	0.2
199506	0.149
199507	0.131
199508	0.227
199509	0.203
199510	0.144
199511	0.171
199512	0.199
199601	0.116
199602	0.065
199603	0.07
199604	0.15
199605	0.175
199606	0.218
199607	0.304
199608	0.183
199609	0.238
199610	0.226
199611	0.08
199612	-0.148
199701	0.003
199702	0.079
199703	0.096
199704	0.095
199705	0.177
199706	0.23
199707	0.238
199708	0.274
199709	0.237
199710	0.164
199711	0.117
199712	0.137
199801	0.088
199802	0.064
199803	0.105
199804	0.108
199805	0.18
199806	0.219
199807	0.213
199808	0.251
199809	0.241
199810	0.209
199811	0.241
199812	0.205
199901	0.145
199902	0.1
199903	0.185
199904	0.193
199905	0.17
199906	0.211
199907	0.236
199908	0.31
199909	0.271
199910	0.32
199911	0.197
199912	0.159
200001	0.137
200002	0.141
200003	0.227
200004	0.171
200005	0.185
200006	0.21
200007	0.276
200008	0.291
200009	0.271
200010	0.281
200011	0.187
200012	0.1
200101	0.06
200102	0.036
200103	0.166
200104	0.284
200105	0.263
200106	0.328
200107	0.396
200108	0.419
200109	0.43
200110	0.307
200111	0.247
200112	0.129
200201	0.123
200202	0.145
200203	0.145
200204	0.135
200205	0.148
200206	0.162
200207	0.258
200208	0.245
200209	0.186
200210	0.16
200211	0.134
200212	0.097
200301	-0.007
