time	level
198008	0.137
198009	0.09
198010	0.004
198011	-0.092
198012	-0.124
198101	-0.162
198102	-0.11
198103	-0.089
198104	-0.029
198105	-0.055
198106	0.048
198107	0.136
198108	0.2
198109	0.07
198110	0.047
198111	-0.048
198112	-0.169
198201	-0.207
198202	-0.185
198203	-0.139
198204	-0.082
198205	0.013
198206	0.079
198207	0.065
198208	0.066
198209	0.074
198210	0.009
198211	-0.137
198212	-0.18
198301	-0.22
198302	-0.158
198303	-0.086
198304	-0.042
198305	0.02
198306	0.114
198307	0.147
198308	0.154
198309	0.114
198310	-0.01
198311	-0.128
198312	-0.162
198401	-0.164
198402	-0.162
198403	-0.13
198404	-0.05
198405	0.019
198406	0.139
198407	0.106
198408	0.157
198409	0.06
198410	0.029
198411	-0.029
198412	-0.152
198501	-0.257
198502	-0.149
198503	-0.161
198504	-0.135
198505	-0.011
198506	0.106
198507	0.112
198508	0.165
198509	0.06
198510	-0.033
198511	-0.086
198512	-0.193
198601	-0.238
198602	-0.223
198603	-0.1
198604	-0.086
198605	-0.043
198606	0.053
198607	0.116
198608	0.137
198609	0.053
198610	-0.066
198611	-0.132
198612	-0.154
198701	-0.181
198702	-0.209
198703	-0.144
198704	-0.113
198705	-0.034
198706	0.042
198707	0.1
198708	0.131
198709	0.05
198710	-0.011
198711	-0.086
198712	-0.15
198801	-0.161
198802	-0.191
198803	-0.087
198804	-0.067
198805	0.041
198806	0.11
198807	0.14
198808	0.153
198809	0.101
198810	0.014
198811	-0.168
198812	-0.226
198901	-0.177
198902	-0.179
198903	-0.135
198904	-0.038
198905	0.015
198906	0.072
198907	0.145
198908	0.222
198909	0.105
198910	-0.044
198911	-0.078
198912	-0.117
199001	-0.128
199002	-0.154
199003	-0.15
199004	-0.058
199005	-0.03
199006	0.078
199007	0.118
199008	0.23
199009	0.14
199010	0.008
199011	-0.046
199012	-0.193
199101	-0.206
199102	-0.183
199103	-0.103
199104	-0.076
199105	-0.035
199106	0.06
199107	0.106
199108	0.208
199109	0.142
199110	0.047
199111	-0.143
199112	-0.119
199201	-0.17
199202	-0.163
199203	-0.084
199204	-0.006
199205	0.035
199206	0.077
199207	0.076
199208	0.161
199209	0.125
199210	0.017
199211	-0.043
199212	-0.136
199301	-0.161
199302	-0.178
199303	-0.124
199304	-0.034
199305	0.042
199306	0.049
199307	0.121
199308	0.168
199309	0.099
199310	-0.024
199311	-0.117
199312	-0.166
199401	-0.094
199402	-0.095
199403	-0.098
199404	0.049
199405	0.044
199406	0.074
199407	0.131
199408	0.209
199409	0.12
199410	0.066
199411	-0.087
199412	-0.129
199501	-0.142
199502	-0.117
199503	-0.117
199504	-0.029
199505	0.047
199506	0.097
199507	0.094
199508	0.105
199509	0.077
199510	-0.01
199511	-0.114
199512	-0.12
199601	-0.107
199602	-0.16
199603	-0.124
199604	-0.075
199605	0.058
199606	0.118
199607	0.238
199608	0.182
199609	0.18
199610	0.069
199611	-0.078
199612	-0.201
199701	-0.142
199702	-0.093
199703	-0.051
199704	-0.031
199705	0.056
199706	0.127
199707	0.206
199708	0.227
199709	0.185
199710	0.022
199711	-0.043
199712	-0.067
199801	-0.086
199802	-0.084
199803	-0.057
199804	-0.077
199805	-0.004
199806	0.0775
199807	0.116
199808	0.161
199809	0.103
199810	0.079
199811	0.0
199812	-0.065
199901	-0.164
199902	-0.167
199903	-0.128
199904	-0.077
199905	-0.004
199906	0.088
199907	0.18
199908	0.174
199909	0.148
199910	0.09
199911	0.023
199912	-0.185
200001	-0.11
200002	-0.083
200003	-0.033
200004	-0.006
200005	0.043
200006	0.11
200007	0.18
200008	0.193
200009	0.1345
200010	0.076
200011	-0.022
200012	-0.081
200101	-0.164
200102	-0.167
200103	-0.128
200104	-0.077
200105	-0.004
200106	0.0775
200107	0.116
200108	0.161
200109	0.103
200110	0.0085
200111	-0.08199999999999999
200112	-0.1585
200201	-0.164
200202	-0.167
200203	-0.128
200204	-0.077
200205	-0.004
200206	0.0775
200207	0.116
200208	0.161
200209	0.103
200210	0.0085
200211	-0.08199999999999999
200212	-0.1585
200301	-0.164
200302	-0.167
200303	-0.128
200304	-0.077
200305	-0.004
200306	0.0775
200307	0.116
200308	0.161
200309	0.103
200310	0.0085
200311	-0.08199999999999999
200312	-0.1585
200401	-0.129
200402	-0.17
200403	-0.073
200404	-0.025
200405	0.091
200406	0.126
200407	0.19
200408	0.341
200409	0.172
200410	0.07
200411	-0.07
200412	-0.092
200501	-0.091
200502	-0.167
200503	-0.128
200504	-0.077
200505	0.141
200506	0.134
200507	0.127
200508	0.183
200509	0.172
200510	0.056
200511	0.017
200512	-0.097
200601	-0.053
200602	-0.07
200603	-0.069
200604	0.054
200605	0.095
200606	0.188
200607	0.225
200608	0.229
200609	0.173
200610	0.087
200611	0.012
200612	-0.074
200701	-0.155
200702	-0.123
200703	0.008
200704	0.006
200705	0.08
200706	0.162
200707	0.189
200708	0.238
200709	0.207
200710	0.022
200711	-0.076
200712	-0.043
200801	-0.091
200802	-0.129
200803	-0.031
200804	0.065
200805	0.171
200806	0.204
200807	0.201
200808	0.238
200809	0.182
200810	0.065
200811	0.032
200812	-0.054
200901	-0.113
200902	-0.058
200903	-0.072
200904	-0.01
200905	0.075
200906	0.207
200907	0.175
200908	0.279
200909	0.2
200910	0.061
200911	0.021
200912	-0.043
201001	-0.143
201002	-0.041
201003	-0.056
201004	-0.025
201005	0.071
201006	0.104
201007	0.193
201008	0.216
201009	0.21
201010	0.128
201011	0.031
201012	-0.006
201101	-0.13
201102	-0.069
201103	-0.126
201104	-0.055
201105	0.07
201106	0.162
201107	0.214
201108	0.242
201109	0.216
201110	0.091
201111	0.033
201112	-0.068
201201	-0.081
201202	-0.047
201203	0.034
201204	0.072
201205	0.18
201206	0.22
201207	0.256
201208	0.288
201209	0.213
201210	0.168
201211	0.05
201212	-0.024
201301	-0.062
201302	-0.041
201303	0.007
201304	0.094
201305	0.171
201306	0.193
201307	0.182
201308	0.249
201309	0.16
201310	0.139
201311	-0.057
201312	-0.119
201401	-0.134
201402	-0.008
201403	-0.041
201404	0.048
201405	0.091
201406	0.189
201407	0.192
201408	0.236
201409	0.185
201410	0.136
201411	0.076
201412	-0.106
201501	-0.11
201502	-0.075
201503	-0.076
201504	-0.02
201505	0.062
201506	0.124
201507	0.173
201508	0.233
201509	0.169
201510	0.042
201511	-0.02
201512	-0.089
201601	-0.075
201602	-0.065
201603	-0.055
201604	0.075
201605	0.131
201606	0.162
201607	0.139
201608	0.232
201609	0.216
201610	0.131
201611	0.069
201612	-0.052
201701	-0.088
201702	-0.069
201703	0.002
201704	0.046
201705	0.015
201706	0.19
201707	0.191
201708	0.233
201709	0.219
201710	0.175
201711	-0.004
201712	-0.133
201801	-0.101
201802	-0.126
201803	-0.023
201804	-0.002
201805	0.083
201806	0.102
201807	0.21
201808	0.255
201809	0.2
201810	0.01
201811	-0.046
201812	-0.074
201901	-0.088
201902	-0.054
201903	-0.02
201904	0.021
201905	0.07
201906	0.162
201907	0.194
201908	0.198
201909	0.14
201910	0.064
201911	-0.053
201912	-0.135
202001	-0.077
202002	-0.11
202003	-0.093
202004	-0.092
202005	0.058
202006	0.176
202007	0.203
202008	0.203
202009	0.234
202010	0.123
202011	-0.015
202012	0.043
202101	-0.107
202102	-0.064
202103	-0.044
202104	0.033
202105	0.132
202106	0.209
202107	0.295
202108	0.291
202109	0.238
202110	0.145
202111	0.037
202112	-0.051
202201	-0.029
202202	-0.018
202203	0.044
202204	0.026
202205	0.012
202206	0.177
202207	0.267
202208	0.249
202209	0.27
202210	0.057
202211	0.01
202212	-0.085
202301	-0.075
202302	-0.049
202303	-0.052
202304	0.024
202305	-0.004
202306	0.0775
202307	0.116
202308	0.161
202309	0.103
202310	0.0085
202311	-0.08199999999999999
202312	-0.1585
