time	level
1981
	1	-0.311
	2	-0.261
	3	-0.288
	4	-0.214
	5	-0.246
	6	-0.158
	7	-0.07
	8	0.032
	9	-0.074
	10	-0.059
	11	-0.149
	12	-0.252
1982
	1	-0.316
	2	-0.252
	3	-0.215
	4	-0.181
	5	-0.142
	6	-0.181
	7	-0.138
	8	-0.089
	9	-0.05
	10	-0.074
	11	-0.193
	12	-0.197
1983
	1	-0.296
	2	-0.194
	3	-0.101
	4	-0.002
	5	0.0625
	6	0.121
	7	0.1505
	8	0.1975
	9	0.188
	10	0.068
	11	0.0035
	12	-0.049
1984
	1	-0.088
	2	-0.059
	3	-0.036
	4	-0.002
	5	0.0625
	6	0.121
	7	0.1505
	8	0.1975
	9	-0.032
	10	-0.026
	11	-0.084
	12	-0.197
1985
	1	-0.256
	2	-0.125
	3	-0.186
	4	-0.163
	5	-0.068
	6	0.046
	7	0.036
	8	0.111
	9	-0.042
	10	-0.159
	11	-0.175
	12	-0.261
1986
	1	-0.297
	2	-0.27
	3	-0.237
	4	-0.213
	5	-0.133
	6	-0.113
	7	-0.011
	8	0.032
	9	-0.016
	10	-0.105
	11	-0.123
	12	-0.106
1987
	1	-0.139
	2	-0.148
	3	-0.097
	4	-0.061
	5	-0.022
	6	0.005
	7	0.069
	8	0.073
	9	0.079
	10	0.025
	11	-0.023
	12	-0.048
1988
	1	-0.094
	2	-0.164
	3	-0.134
	4	-0.19
	5	-0.187
	6	-0.221
	7	-0.268
	8	0.085
	9	-0.016
	10	-0.029
	11	-0.049
	12	-0.229
1989
	1	-0.176
	2	-0.142
	3	-0.121
	4	-0.066
	5	-0.033
	6	0.058
	7	0.069
	8	0.209
	9	0.105
	10	-0.09
	11	-0.084
	12	-0.095
1990
	1	-0.088
	2	-0.105
	3	-0.176
	4	-0.087
	5	-0.075
	6	0.046
	7	-0.028
	8	0.018
	9	0.049
	10	0.04
	11	-0.039
	12	-0.172
1991
	1	-0.137
	2	-0.086
	3	-0.028
	4	-0.011
	5	-0.036
	6	0.121
	7	0.1505
	8	0.1975
	9	0.188
	10	0.068
	11	-0.138
	12	-0.144
1992
	1	-0.169
	2	-0.164
	3	-0.106
	4	-0.034
	5	-0.005
	6	0.015
	7	0.001
	8	0.108
	9	0.079
	10	0.018
	11	-0.061
	12	-0.15
1993
	1	-0.088
	2	-0.059
	3	-0.036
	4	-0.002
	5	0.0625
	6	0.121
	7	0.1505
	8	0.1975
	9	0.188
	10	0.068
	11	0.0035
	12	-0.049
1994
	1	-0.088
	2	-0.059
	3	-0.036
	4	-0.002
	5	0.0625
	6	-0.124
	7	-0.016
	8	0.06
	9	0.065
	10	0.021
	11	-0.109
	12	-0.143
1995
	1	-0.123
	2	-0.106
	3	-0.092
	4	-0.043
	5	0.016
	6	0.051
	7	0.03
	8	0.034
	9	0.043
	10	-0.006
	11	-0.113
	12	-0.105
1996
	1	-0.088
	2	-0.059
	3	-0.036
	4	-0.148
	5	-0.036
	6	0.004
	7	0.045
	8	-0.032
	9	-0.016
	10	-0.094
	11	-0.201
	12	-0.1765
1997
	1	-0.152
	2	-0.122
	3	-0.083
	4	-0.049
	5	0.022
	6	0.137
	7	0.159
	8	0.193
	9	0.173
	10	0.021
	11	-0.046
	12	-0.071
1998
	1	-0.12
	2	-0.14
	3	-0.11
	4	-0.083
	5	-0.017
	6	0.101
	7	0.103
	8	0.11
	9	0.113
	10	0.039
	11	-0.042
	12	-0.09
1999
	1	-0.111
	2	-0.155
	3	0.0
	4	-0.027
	5	-0.025
	6	0.058
	7	0.154
	8	0.15
	9	0.122
	10	0.068
	11	0.018
	12	-0.141
2000
	1	-0.062
	2	-0.037
	3	-0.017
	4	-0.004
	5	0.017
	6	0.073
	7	0.116
	8	0.147
	9	0.158
	10	0.068
	11	-0.012
	12	-0.066
2001
	1	0.035
	2	-0.042
	3	-0.025
	4	0.018
	5	0.055
	6	0.113
	7	0.137
