time	level
1946
	1	-0.164
	2	-0.167
	3	-0.128
	4	-0.077
	5	-0.11
	6	-0.082
	7	0.014
	8	0.053
	9	0.006
	10	-0.107
	11	-0.123
	12	-0.251
1947
	1	-0.25
	2	-0.235
	3	-0.258
	4	-0.203
	5	-0.115
	6	-0.04
	7	0.009
	8	0.019
	9	0.029
	10	-0.05
	11	-0.163
	12	-0.237
1948
	1	-0.274
	2	-0.268
	3	-0.244
	4	-0.212
	5	-0.165
	6	-0.028
	7	0.046
	8	0.054
	9	-0.018
	10	-0.116
	11	-0.244
	12	-0.284
1949
	1	-0.28
	2	-0.264
	3	-0.256
	4	-0.189
	5	-0.109
	6	-0.001
	7	0.001
	8	0.108
	9	0.015
	10	-0.039
	11	-0.105
	12	-0.213
1950
	1	-0.183
	2	-0.242
	3	-0.229
	4	-0.117
	5	-0.026
	6	0.008
	7	0.111
	8	0.117
	9	0.074
	10	-0.055
	11	-0.061
	12	-0.298
1951
	1	-0.266
	2	-0.223
	3	-0.229
	4	-0.152
	5	-0.052
	6	0.02
	7	0.023
	8	0.072
	9	0.05
	10	-0.002
	11	-0.197
	12	-0.318
1952
	1	-0.304
	2	-0.255
	3	-0.174
	4	-0.082
	5	-0.057
	6	0.047
	7	0.141
	8	0.128
	9	0.076
	10	-0.092
	11	-0.064
	12	-0.19
1953
	1	-0.258
	2	-0.22
	3	-0.258
	4	-0.187
	5	-0.017
	6	0.083
	7	0.034
	8	0.149
	9	0.097
	10	-0.015
	11	-0.096
	12	-0.173
1954
	1	-0.138
	2	-0.202
	3	-0.199
	4	-0.095
	5	-0.075
	6	0.104
	7	0.116
	8	0.161
	9	0.074
	10	-0.007
	11	-0.101
	12	-0.18
1955
	1	-0.273
	2	-0.182
	3	-0.146
	4	-0.17
	5	-0.037
	6	-0.005
	7	0.07
	8	0.094
	9	0.0195
	10	-0.055
	11	-0.105
	12	-0.155
1956
	1	-0.212
	2	-0.23
	3	-0.221
	4	-0.137
	5	-0.043
	6	0.043
	7	0.114
	8	0.083
	9	0.06
	10	-0.068
	11	-0.15
	12	-0.227
1957
	1	-0.218
	2	-0.213
	3	-0.144
	4	-0.109
	5	-0.004
	6	0.029
	7	0.071
	8	0.12
	9	0.056
	10	-0.101
	11	-0.121
	12	-0.184
1958
	1	-0.254
	2	-0.213
	3	-0.128
	4	-0.139
	5	-0.056
	6	0.052
	7	0.065
	8	0.069
	9	0.093
	10	-0.075
	11	-0.174
	12	-0.184
1959
	1	-0.235
	2	-0.205
	3	-0.206
	4	-0.11
	5	-0.069
	6	0.059
	7	0.094
	8	0.137
	9	0.058
	10	0.067
	11	-0.1
	12	-0.165
1960
	1	-0.162
	2	-0.191
	3	-0.058
	4	-0.104
	5	-0.027
	6	0.103
	7	0.089
	8	0.196
	9	0.064
	10	0.011
	11	-0.073
	12	-0.144
1961
	1	-0.164
	2	-0.141
	3	-0.102
	4	-0.059
	5	-0.041
	6	0.063
	7	0.111
	8	0.152
	9	0.153
	10	0.065
	11	-0.051
	12	-0.131
1962
	1	-0.177
	2	-0.219
	3	-0.194
	4	-0.117
	5	-0.041
	6	0.058
	7	0.129
	8	0.11
	9	0.056
	10	-0.017
	11	-0.059
	12	-0.176
1963
	1	-0.195
	2	-0.276
	3	-0.176
	4	-0.13
	5	-0.053
	6	0.017
	7	0.023
	8	0.056
	9	0.075
	10	-0.052
	11	-0.088
	12	-0.19
1964
	1	-0.142
	2	-0.191
	3	-0.186
	4	-0.124
	5	-0.021
	6	0.055
	7	0.064
	8	0.162
	9	0.094
	10	-0.003
	11	-0.148
	12	-0.183
1965
	1	-0.189
	2	-0.19
	3	-0.174
	4	-0.131
	5	-0.065
	6	0.024
	7	0.085
	8	0.096
	9	0.103
	10	-0.025
	11	-0.076
	12	-0.133
1966
	1	-0.217
	2	-0.14
	3	-0.082
	4	-0.04
	5	-0.026
	6	0.077
	7	0.081
	8	0.076
	9	0.119
	10	-0.001
	11	-0.127
	12	-0.206
1967
	1	-0.226
	2	-0.203
	3	-0.19
	4	-0.1
	5	-0.022
	6	0.093
	7	0.168
	8	0.153
	9	0.146
	10	0.016
	11	-0.112
	12	-0.18
1968
	1	-0.185
	2	-0.222
	3	-0.236
	4	-0.198
	5	-0.054
	6	-0.022
	7	0.037
	8	0.113
	9	0.059
	10	-0.032
	11	-0.101
	12	-0.107
1969
	1	-0.186
	2	-0.215
	3	-0.213
	4	-0.118
	5	0.04
	6	0.043
	7	0.116
	8	0.161
	9	0.103
	10	0.0085
	11	-0.08199999999999999
	12	-0.1585
1970
	1	-0.164
	2	-0.167
	3	-0.128
	4	-0.077
	5	-0.004
	6	0.0775
	7	0.116
	8	0.161
	9	0.103
	10	0.0085
	11	-0.08199999999999999
	12	-0.1585
1971
	1	-0.143
	2	-0.163
	3	-0.162
	4	-0.143
	5	-0.088
	6	0.012
	7	0.065
	8	0.118
	9	0.131
	10	-0.016
	11	-0.173
	12	-0.24
1972
	1	-0.169
	2	-0.158
	3	-0.155
	4	-0.082
	5	0.019
	6	0.109
	7	0.205
	8	0.191
	9	0.025
	10	-0.095
	11	-0.166
	12	-0.21
1973
	1	-0.259
	2	-0.187
	3	-0.166
	4	-0.057
	5	-0.042
	6	0.051
	7	0.111
	8	0.106
	9	0.013
	10	-0.094
	11	-0.165
	12	-0.237
1974
	1	-0.167
	2	-0.196
	3	-0.21
	4	-0.129
	5	-0.007
	6	0.048
	7	0.072
	8	0.117
	9	0.005
	10	-0.094
	11	-0.195
	12	-0.211
1975
	1	-0.24
	2	-0.203
	3	-0.167
	4	-0.109
	5	-0.045
	6	0.068
	7	0.101
	8	0.198
	9	0.161
	10	0.042
	11	-0.066
	12	-0.166
1976
	1	-0.224
	2	-0.09
	3	-0.164
	4	-0.078
	5	0.0
	6	0.09
	7	0.181
	8	0.073
	9	0.132
	10	-0.035
	11	-0.132
	12	-0.216
1977
	1	-0.246
	2	-0.264
	3	-0.178
	4	-0.14
	5	-0.086
	6	0.038
	7	0.111
	8	0.13
	9	0.074
	10	0.004
	11	-0.157
	12	-0.17
1978
	1	-0.213
	2	-0.23
	3	-0.158
	4	-0.122
	5	-0.06
	6	-0.024
	7	0.047
	8	0.057
	9	0.056
	10	-0.015
	11	-0.147
	12	-0.175
1979
	1	-0.217
	2	-0.167
	3	-0.13
	4	-0.112
	5	-0.045
	6	0.048
	7	0.083
	8	0.034
